0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:46 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:50:59 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:51:00 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:51:29 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:51:30 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:51:30 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:51:43 +0800] "GET /meeting/jsp/searchmeetings.jsp HTTP/1.1" 200 5862
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:51:43 +0800] "GET /meeting/jquery-easyui-1.5.3/demo.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:51:47 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:51:53 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1212
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:12 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:16 +0800] "GET /meeting/MeetingDetailsServlet?meetingid=59 HTTP/1.1" 200 6321
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:16 +0800] "POST /meeting/MeetingDetailsServletTwo HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:27 +0800] "GET /meeting/LoginOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:27 +0800] "GET /meeting/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:27 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:28 +0800] "GET /meeting/jsp/notifications.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:28 +0800] "GET /meeting/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:28 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:29 +0800] "GET /meeting/jsp/mybookings.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:29 +0800] "GET /meeting/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:29 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:29 +0800] "GET /meeting/MyMeetingServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:29 +0800] "GET /meeting/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:29 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:31 +0800] "GET /meeting/jsp/register.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:31 +0800] "GET /meeting/QueryDepartmentNameServlet HTTP/1.1" 200 4061
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:33 +0800] "GET /meeting/LoginOutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:33 +0800] "GET /meeting/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:33 +0800] "GET /meeting/jsp/login.jsp HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:46 +0800] "POST /meeting/LoginServlet HTTP/1.1" 200 14
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:46 +0800] "GET /meeting/NotificationsServlet HTTP/1.1" 200 4680
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:52:47 +0800] "POST /meeting/NotificationsServletTwo HTTP/1.1" 200 288
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:24 +0800] "GET /meeting/MyMeetingServlet HTTP/1.1" 200 5522
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:40 +0800] "GET /meeting/jsp/searchmeetings.jsp HTTP/1.1" 200 6223
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:40 +0800] "GET /meeting/jquery-easyui-1.5.3/demo.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:41 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:43 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:44 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:44 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:46 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:46 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:47 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1240
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:48 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1219
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:49 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 1237
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:51 +0800] "POST /meeting/SearchMeetingServlet HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:53 +0800] "GET /meeting/jsp/departments.jsp HTTP/1.1" 200 3140
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:53 +0800] "GET /meeting/js/departments.js HTTP/1.1" 200 3426
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:53 +0800] "POST /meeting/QueryDepartmentServlet HTTP/1.1" 200 252
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:53:59 +0800] "POST /meeting/UpdateDepartmentServlet HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:12 +0800] "POST /meeting/InsertDepartmentServlet HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:17 +0800] "POST /meeting/DeleteDepartmentServlet HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:17 +0800] "POST /meeting/QueryDepartmentServlet HTTP/1.1" 200 294
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:18 +0800] "POST /meeting/DeleteDepartmentServlet HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:18 +0800] "POST /meeting/QueryDepartmentServlet HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:25 +0800] "GET /meeting/jsp/searchemployees.jsp HTTP/1.1" 200 4765
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:25 +0800] "GET /meeting/js/employeePaging.js HTTP/1.1" 200 9341
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:28 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:37 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:38 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:38 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 602
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:54:42 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:55:03 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:55:14 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:55:25 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:55:31 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:55:37 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:55:39 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:55:42 +0800] "POST /meeting/CloseAccountServlet HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:55:46 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 435
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:55:48 +0800] "POST /meeting/CloseAccountServlet HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:55:53 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:55:56 +0800] "POST /meeting/CloseAccountServlet HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:56:02 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:56:04 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:56:06 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 610
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:56:07 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:56:08 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:56:08 +0800] "POST /meeting/SearchemployeesServlet HTTP/1.1" 200 614
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:56:12 +0800] "GET /meeting/jsp/addmeetingroom.jsp HTTP/1.1" 200 5343
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:56:41 +0800] "GET /meeting/jsp/searchmeetings.jsp HTTP/1.1" 200 6223
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:56:41 +0800] "GET /meeting/jquery-easyui-1.5.3/demo.css HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:56:44 +0800] "GET /meeting/jsp/bookmeeting.jsp HTTP/1.1" 200 9962
0:0:0:0:0:0:0:1 - - [29/Sep/2017:08:56:44 +0800] "GET /meeting/jquery-easyui-1.5.3/demo.css HTTP/1.1" 404 1066
